Source,Target
alloc/Pipeline.html,http://www.unicode.org/alloc/about.html
alloc/Pipeline.html,http://www.unicode.org/alloc/nonapprovals.html
alloc/Pipeline.html,http://www.unicode.org/standard/where/
alloc/Pipeline.html,http://www.unicode.org/roadmaps
alloc/Pipeline.html,http://www.unicode.org/standard/unsupported.html
alloc/Pipeline.html,http://www.unicode.org/standard/supported.html
alloc/Pipeline.html,http://www.unicode.org/pending/pending.html
alloc/Pipeline.html,http://www.unicode.org/pending/proposals.html
alloc/Pipeline.html,http://www.unicode.org/pending/about-sei.html
alloc/Pipeline.html,http://www.unicode.org/policies/policies.html
alloc/Pipeline.html,http://www.unicode.org/consortium/utc.html
alloc/Pipeline.html,http://www.unicode.org/consortium/utc.html
alloc/Pipeline.html,http://www.unicode.org/emoji/charts/emoji-released.html
alloc/Pipeline.html,http://www.unicode.org/emoji/future/emoji-candidates.html
alloc/Pipeline.html,http://www.unicode.org/alloc/about.html
alloc/Pipeline.html,http://www.unicode.org/pending/pending.html
alloc/Pipeline.html,http://www.unicode.org/alloc/ISOStages.html
alloc/Pipeline.html,
alloc/Pipeline.html,http://www.unicode.org/versions/beta.html
alloc/Pipeline.html,http://www.unicode.org/review/
alloc/Pipeline.html,https://www.unicode.org/reporting.html
alloc/Pipeline.html,
alloc/Pipeline.html,
alloc/Pipeline.html,http://www.unicode.org/Public/UCD/latest/ucd/DerivedAge.txt
alloc/Pipeline.html,
alloc/Pipeline.html,
alloc/Pipeline.html,
alloc/Pipeline.html,
alloc/Pipeline.html,
alloc/Pipeline.html,#planned_next_version
alloc/Pipeline.html,#future
alloc/Pipeline.html,
alloc/Pipeline.html,http://www.unicode.org/alloc/ISOStages.html
alloc/Pipeline.html,
alloc/Pipeline.html,http://www.unicode.org/alloc/ISOStages.html
alloc/Pipeline.html,
alloc/Pipeline.html,http://www.unicode.org/alloc/ISOStages.html
alloc/Pipeline.html,http://www.unicode.org/copyright.html
announcements/,http://www.unicode.org/
announcements/,http://www.unicode.org/announcements/
announcements/,http://www.unicode.org
announcements/,http://www.unicode.org/sitemap/
announcements/,http://www.unicode.org/search
announcements/,#recent
announcements/,#older
announcements/,#2009
announcements/,#2007
announcements/,#2005
announcements/,http://www.unicode.org/announcements/boilerplate.html
announcements/,http://www.unicode.org/announcements/quotations.html
announcements/,http://www.unicode.org/standard/WhatIsUnicode.html
announcements/,http://www.unicode.org/standard/principles.html
announcements/,http://www.unicode.org/resources/
announcements/,http://www.unicode.org/announcements/articles.html
announcements/,http://www.unicode.org/resources/readinglist.html
announcements/,http://unicode-inc.blogspot.com/
announcements/,http://www.unicode.org/contacts.html
announcements/,http://unicode-inc.blogspot.com/
announcements/,http://www.unicode.org/resources/readinglist.html
announcements/,
announcements/,http://unicode-inc.blogspot.com/
announcements/,
announcements/,http://www.unicode.org/announcements/pr-uli.html
announcements/,http://cldr.unicode.org/index/downloads/cldr-1-9-1
announcements/,http://www.unicode.org/announcements/pr-6.0-core.html
announcements/,http://unicode.org/announcements/pr-iuc35-2.html
announcements/,http://www.unicode.org/announcements/pr-cldr2.html
announcements/,http://unicode.org/announcements/pr-iuc35-1.html
announcements/,http://www.unicode.org/announcements/pr-cldr19.html
announcements/,http://www.unicode.org/announcements/pr-6.0.html
announcements/,http://www.unicode.org/announcements/ann-Jun02-2010.html
announcements/,http://cldr.unicode.org/index/downloads/cldr-1-8-1
announcements/,http://unicode.org/announcements/pr-iuc34-1.html
announcements/,http://www.unicode.org/announcements/pr-cldr1.8-fr.html
announcements/,http://www.unicode.org/announcements/pr-cldr1.8.html
announcements/,http://www.unicode.org/announcements/ann-feb16-2010.html
announcements/,http://www.unicode.org/announcements/ann-jan05-2010.html
announcements/,
announcements/,http://www.unicode.org/announcements/pr-cldr1.72.html
announcements/,http://www.unicode.org/reports/tr10/
announcements/,http://www.unicode.org/conference/uni-haiku.html
announcements/,http://www.unicode.org/versions/Unicode5.2.0/
announcements/,http://www.unicode.org/conference/haiku.html
announcements/,http://www.unicode.org/announcements/pr-cldr1.71.html
announcements/,http://www.unicode.org/announcements/pr-cldr1.7.html
announcements/,http://www.unicodeconference.org/press-release-a.htm
announcements/,http://unicode.org/announcements/pr-iuc33-1.html
announcements/,http://www.unicode.org/policies/stability_policy.html#Alias_Stability
announcements/,http://www.unicode.org/policies/stability_policy.html#Property_Stability
announcements/,http://www.unicode.org/policies/stability_policy.html#Property_Alias_Uniqueness
announcements/,http://www.unicode.org/reports/tr45/
announcements/,http://www.unicode.org/policies/stability_policy.html#Property_Value
announcements/,http://www.unicode.org/policies/property_value_stability_table.html
