Source,Target,Type,Id,Label,timeset,Weight
charts/charindex.html,PDF/U0B00.pdf,Directed,23974,,,8
charts/index.html,PDF/U0B00.pdf,Directed,23982,,,1
charts/,PDF/U0B80.pdf,Directed,23983,,,1
charts/charindex.html,PDF/U0B80.pdf,Directed,23984,,,45
charts/index.html,PDF/U0B80.pdf,Directed,24029,,,1
charts/,PDF/U0C00.pdf,Directed,24030,,,1
charts/charindex.html,PDF/U0C00.pdf,Directed,24031,,,9
charts/index.html,PDF/U0C00.pdf,Directed,24040,,,1
charts/,PDF/U0C80.pdf,Directed,24041,,,1
charts/charindex.html,PDF/U0C80.pdf,Directed,24042,,,7
charts/index.html,PDF/U0C80.pdf,Directed,24049,,,1
charts/,PDF/U0D00.pdf,Directed,24050,,,1
charts/charindex.html,PDF/U0D00.pdf,Directed,24051,,,13
charts/index.html,PDF/U0D00.pdf,Directed,24064,,,1
charts/,PDF/U0D80.pdf,Directed,24065,,,1
charts/charindex.html,PDF/U0D80.pdf,Directed,24066,,,8
charts/index.html,PDF/U0D80.pdf,Directed,24074,,,1
charts/,PDF/U0E00.pdf,Directed,24075,,,1
charts/charindex.html,PDF/U0E00.pdf,Directed,24076,,,21
charts/index.html,PDF/U0E00.pdf,Directed,24097,,,1
charts/,PDF/U0E80.pdf,Directed,24098,,,1
charts/charindex.html,PDF/U0E80.pdf,Directed,24099,,,12
charts/index.html,PDF/U0E80.pdf,Directed,24111,,,1
charts/,PDF/U0F00.pdf,Directed,24112,,,1
charts/charindex.html,PDF/U0F00.pdf,Directed,24113,,,46
charts/index.html,PDF/U0F00.pdf,Directed,24159,,,1
charts/,PDF/U1000.pdf,Directed,24160,,,1
charts/charindex.html,PDF/U1000.pdf,Directed,24161,,,14
charts/index.html,PDF/U1000.pdf,Directed,24175,,,1
charts/,PDF/U10000.pdf,Directed,24176,,,1
charts/charindex.html,PDF/U10000.pdf,Directed,24177,,,5
charts/index.html,PDF/U10000.pdf,Directed,24182,,,1
charts/,PDF/U100000.pdf,Directed,24183,,,1
charts/charindex.html,PDF/U100000.pdf,Directed,24184,,,3
charts/index.html,PDF/U100000.pdf,Directed,24187,,,1
charts/,PDF/U10080.pdf,Directed,24188,,,1
charts/charindex.html,PDF/U10080.pdf,Directed,24189,,,2
charts/index.html,PDF/U10080.pdf,Directed,24191,,,1
charts/,PDF/U10100.pdf,Directed,24192,,,1
charts/charindex.html,PDF/U10100.pdf,Directed,24193,,,5
charts/index.html,PDF/U10100.pdf,Directed,24198,,,1
charts/,PDF/U10140.pdf,Directed,24199,,,1
charts/charindex.html,PDF/U10140.pdf,Directed,24200,,,2
charts/index.html,PDF/U10140.pdf,Directed,24202,,,1
charts/,PDF/U10190.pdf,Directed,24203,,,2
charts/charindex.html,PDF/U10190.pdf,Directed,24205,,,2
charts/index.html,PDF/U10190.pdf,Directed,24207,,,2
charts/,PDF/U101D0.pdf,Directed,24209,,,1
charts/charindex.html,PDF/U101D0.pdf,Directed,24210,,,1
charts/index.html,PDF/U101D0.pdf,Directed,24211,,,1
charts/,PDF/U10280.pdf,Directed,24212,,,1
charts/charindex.html,PDF/U10280.pdf,Directed,24213,,,1
charts/index.html,PDF/U10280.pdf,Directed,24214,,,1
charts/,PDF/U102A0.pdf,Directed,24215,,,1
charts/charindex.html,PDF/U102A0.pdf,Directed,24216,,,1
charts/index.html,PDF/U102A0.pdf,Directed,24217,,,1
charts/,PDF/U102E0.pdf,Directed,24218,,,2
charts/charindex.html,PDF/U102E0.pdf,Directed,24220,,,1
charts/index.html,PDF/U102E0.pdf,Directed,24221,,,2
charts/,PDF/U10300.pdf,Directed,24223,,,1
charts/charindex.html,PDF/U10300.pdf,Directed,24224,,,3
charts/index.html,PDF/U10300.pdf,Directed,24227,,,1
charts/,PDF/U10330.pdf,Directed,24228,,,1
charts/charindex.html,PDF/U10330.pdf,Directed,24229,,,1
charts/index.html,PDF/U10330.pdf,Directed,24230,,,1
charts/,PDF/U10350.pdf,Directed,24231,,,1
charts/charindex.html,PDF/U10350.pdf,Directed,24232,,,1
charts/index.html,PDF/U10350.pdf,Directed,24233,,,1
charts/,PDF/U10380.pdf,Directed,24234,,,1
charts/charindex.html,PDF/U10380.pdf,Directed,24235,,,1
charts/index.html,PDF/U10380.pdf,Directed,24236,,,1
charts/,PDF/U103A0.pdf,Directed,24237,,,1
charts/charindex.html,PDF/U103A0.pdf,Directed,24238,,,2
charts/index.html,PDF/U103A0.pdf,Directed,24240,,,1
charts/,PDF/U10400.pdf,Directed,24241,,,1
charts/charindex.html,PDF/U10400.pdf,Directed,24242,,,1
charts/index.html,PDF/U10400.pdf,Directed,24243,,,1
charts/,PDF/U10450.pdf,Directed,24244,,,1
