Id,Content Type,Page Type,Subdomain,Label,timeset,pageranks,eigencentrality
components-3.1.1.html,,html,,,,0.000354,0.005253
conference/bulldog.html,,html,,,,0.000378,0.065184
conference/haiku.html,,html,,,,0.000352,0.007325
conference/uni-haiku.html,,html,,,,0.000352,0.007325
consort.html,,html,,,,0.000665,0.000801
reporting.html,,html,,,,0.001148,0.26523
review/pri372/,,html,,,,0.000376,0.054532
help/display_problems.html,,html,,,,0.000457,0.078301
L2/meetings/utc-meetings.html,,html,,,,0.000445,0.094709
copyright.html,,html,,,,0.003274,0.940274
contacts.html#1,,html,#,,,0.000389,0.07492
contacts.html#5,,html,#,,,0.000403,0.014005
contributing.html,,html,,,,0.000364,0.006165
contributors.html,,html,,,,0.000379,0.006165
conversion_mapping.html#3,,html,#,,,0.000381,0.002095
ivd/,,html,,,,0.000506,0.133878
policies/lastresortfont_eula.html,,html,,,,0.000523,0.145751
Public/UNIDATA/NamesList.html,,html,,,,0.000362,0.01183
resources/,,html,,,,0.000628,0.216735
ucd/,,html,,,,0.000775,0.259026
data/2007-12-14,,html,,,,0.000377,0.007197
data/2010-11-14,,html,,,,0.000377,0.007197
data/2012-03-02,,html,,,,0.000377,0.007197
data/2014-05-16,,html,,,,0.000377,0.007197
data/2016-08-15,,html,,,,0.000377,0.007197
data/2017-12-12,,html,,,,0.000377,0.007197
develop.html,,html,,,,0.000398,0.009399
distlist.html,,html,,,,0.000365,0.015424
distlist-indic.html,,html,,,,0.000367,0.013561
distlist-uli-users.html,,html,,,,0.000367,0.013561
distlist-unicode.html,,html,,,,0.000367,0.013561
downloads.html,,html,,,,0.000364,0.006165
enumeratedversions.html,,html,,,,0.000378,0.005253
errata/index.html,,html,,,,0.000354,0.009747
erratafixed.html,,html,,,,0.000354,0.016071
font_keyboard.html#3,,html,#,,,0.000355,0.004991
font_keyboard.html#7,,html,#,,,0.000357,0.002468
font_policy.html,,html,,,,0.000362,0.011616
fonts.html,,html,,,,0.000393,0.01152
fr/,,html,,,,0.000415,0.057927
ftp://ftp.iana.org/tz/releases/,,out,ftp,,,0.00035,0.009026
ftp://ftp.unicode.org/Public,,html,ftp,,,0.000378,0.066712
ftp://ftp.unicode.org/Public/UCD/latest/ucd/CaseFolding.txt,,txt,ftp,,,0.000357,0.004624
ftp://ftp.unicode.org/Public/UCD/latest/ucd/SpecialCasing.txt,,txt,ftp,,,0.000365,0.004624
ftp://ftp.unicode.org/Public/UCD/latest/ucd/UnicodeData.txt,,txt,ftp,,,0.000365,0.004624
ftp://www.unicode.org/Public,,html,ftp,,,0.000359,0.007602
ftp://www.unicode.org/Public/UCD/latest/,,html,ftp,,,0.000373,0.013669
glossary,,html,,,,0.000356,0.004671
glossary/#grapheme,,html,#,,,0.000362,0.00322
glossary/index.html#unicode,,html,#,,,0.000356,0.01233
glossary/index.html#utf_16_encoding_form,,html,#,,,0.000351,0.01233
glossary/index.html#utf_16_encoding_scheme,,html,#,,,0.000351,0.01233
glossary/index.html#utf_32_encoding_form,,html,#,,,0.000351,0.01233
