Source,Target
cldr/process.html,development/guidance-on-direct-modifications-to-cldr-data
cldr/process.html,development/messages
cldr/process.html,development/new-cldr-developers
cldr/process.html,development/updating-codes
cldr/process.html,development/updating-dtds
sitemap/,errata/
standard/standard.html,errata/
consortium/utc.html,errata/UnicodeErrata.html
consortium/utc.html,errata/UnicodeErrata.html
standard/WhatIsUnicode.html,glossary/index.html
uli/,home/announcement
uli/,home/announcement
uli/,home/announcement
uli/,home/announcement/february2017uli-tcmeeting
uli/,home/announcement/newmailinglistuli-users
uli/,home/announcement/publiclyavailablespecifications
uli/,home/announcement/ulisegmentexceptionspostedinsvnanddemoupdated
uli/,home/announcement/wordcounteffortbegun
uli/,home/uli-charter
uli/,home/uli-charter
uli/,home/uli-documents
uli/,home/uli-documents
uli/,home/uli-process
uli/,home/uli-process
cldr/process.html,implementers-faq
cldr/process.html,index
cldr/process.html,index
cldr/process.html,index/bcp47-extension
cldr/process.html,index/bug-reports
cldr/process.html,index/charts
cldr/process.html,index/cldr-spec
cldr/process.html,index/downloads
cldr/process.html,index/process/cldr-data-retention-policy
cldr/process.html,index/survey-tool
pending/proposals.html,pending/pending.html
pending/proposals.html,pending/pending.html
standard/unsupported.html,pending/pending.html
standard/unsupported.html,pending/pending.html
standard/where/,pending/pending.html
standard/unsupported.html,pending/proposals.html
standard/unsupported.html,pending/proposals.html
standard/where/,pending/proposals.html
standard/where/,pending/proposals.html
consortium/utc.html,standard/standard.html
consortium/utc.html,standard/standard.html
cldr/process.html,system/app/pages/recentChanges
uli/,system/app/pages/recentChanges
cldr/process.html,system/app/pages/sitemap/hierarchy
uli/,system/app/pages/sitemap/hierarchy
consortium/utc.html,timesens/calendar.html
sitemap/,timesens/calendar.html
cldr/process.html,translation
faq/casemap_charprop.html,4a
faq/casemap_charprop.html,6a
charts/,About.html
charts/,About.html
charts/,About.html
charts/index.html,About.html
charts/index.html,About.html
charts/index.html,About.html
charts/,About.html#PDF
charts/index.html,About.html#PDF
notes/,about-notes.html
reports/index.html,about-reports.html
reports/index.html,about-reports.html
reports/index.html,about-reports.html#Development
reports/index.html,about-reports.html#Types
reports/index.html,about-reports.html#Versioning
reports/index.html,about-reports.html#Withdrawn
acknowledgements/,acknowledgements/
acknowledgements/bulldog.html,acknowledgements/
acknowledgements/grants.html,acknowledgements/
consortium/consort.html,acknowledgements/
consortium/edcom.html,acknowledgements/
consortium/edcom.html,acknowledgements/
